company,period,performance_score,intensity,trend_score,slope_pct,r_squared,data_quality_score,n_years,technology_score,renewable_score,renewable_pct,total_score,skip_reason
Acciaierie d'Italia Holding,pre2020,,,,,,,1,,,,,Only 1 years in period (need ≥3)
Acerinox EU,pre2020,,,,,,,1,,,,,Only 1 years in period (need ≥3)
ArcelorMittal,pre2020,1.3697104677060157,1.908685968819599,0.0,-0.7626120064170984,0.37240706288819686,13.0,7,14.0,0.0,,28.369710467706014,
Celsa Group,pre2020,,,,,,,0,,,,,Only 0 years in period (need ≥3)
Feralpi Group,pre2020,25.270432692307693,0.31530448717948717,14.776811037768553,-0.9851207358512368,0.9192706063888756,13.0,7,14.0,2.0,30.0,69.04724373007625,
Outokumpu,pre2020,16.502732240437158,0.8998178506375227,23.0846636643233,-1.5389775776215535,0.5912116979657471,13.0,7,17.0,4.0,75.0,73.58739590476046,
SHS Group,pre2020,2.5525558751936273,1.8298296083204248,0.0,-0.5328869691708982,0.0036452781228101167,9.0,3,3.0,0.0,,14.552555875193628,
SIDENOR Group,pre2020,,,,,,,0,,,,,Only 0 years in period (need ≥3)
SSAB,pre2020,7.900643423612149,1.4732904384258567,0.0,0.19308639235623345,0.2109490413104715,13.0,7,8.0,0.0,,28.90064342361215,
Salzgitter AG,pre2020,4.698999811285152,1.6867333459143232,0.0,-0.8146817468014933,0.09775446148397363,9.0,4,6.0,0.0,,19.69899981128515,
Tata Steel Nederland,pre2020,,,,,,,1,,,,,Only 1 years in period (need ≥3)
Tata Steel UK,pre2020,,,,,,,0,,,,,Only 0 years in period (need ≥3)
Voestalpine,pre2020,0.12328767123287787,1.9917808219178081,0.0,6.565785281936909,0.9725044101767947,9.0,3,5.0,0.0,,14.123287671232879,
Acciaierie d'Italia Holding,post2020,0.0,,0.0,4.0927178075182935,0.728284299115982,11.0,3,8.0,0.0,,19.0,
Acerinox EU,post2020,16.3013698630137,0.9132420091324202,30.0,-5.310205240662805,0.5067562438212204,11.0,5,15.0,3.0,44.0,75.3013698630137,
ArcelorMittal,post2020,1.9758812615955468,1.8682745825602969,0.0,-0.43295198225807363,0.17354530283111405,15.0,5,15.0,0.0,,31.975881261595546,
Celsa Group,post2020,26.705967276227142,0.21960218158485723,0.0,-0.08831053237470604,0.0023323523885679944,11.0,5,13.0,0.0,0.6,50.70596727622714,
Feralpi Group,post2020,25.623065015479874,0.2917956656346749,12.459793636893291,-0.8306529091262194,0.906821686702347,15.0,5,14.0,2.0,35.0,69.08285865237316,
Outokumpu,post2020,22.5,0.5,30.0,-3.6075449736705725,0.7899343468914183,15.0,5,20.0,5.0,89.0,92.5,
SHS Group,post2020,3.6086956521739144,1.7594202898550724,0.0,0.36217826062137765,0.020838566682908184,13.0,5,12.0,0.0,,28.608695652173914,
SIDENOR Group,post2020,25.022260273972602,0.33184931506849313,30.0,-3.5253325392098476,0.8288512201423404,10.0,5,13.0,1.0,18.0,79.0222602739726,
SSAB,post2020,8.065938681226376,1.4622707545849083,0.0,0.04373782902967733,0.04923472878172078,15.0,5,17.0,0.0,,40.06593868122638,
Salzgitter AG,post2020,5.550814584949571,1.6299456943366952,0.0,-0.20315705776260962,0.01792730839048923,13.0,5,16.0,0.0,,34.55081458494957,
Tata Steel Nederland,post2020,3.812785388127856,1.745814307458143,0.0,0.5309012050528323,0.039018244220001455,11.0,5,10.0,0.0,,24.812785388127857,
Tata Steel UK,post2020,1.404682274247494,1.906354515050167,0.0,-1.5449427616232227,0.27680192109071555,11.0,5,0.0,0.0,,12.404682274247493,
Voestalpine,post2020,0.0,,0.0,-1.4277865656414517,0.2168311786304287,13.0,4,9.0,0.0,,22.0,
